reg_id,dm present,dm notupdated,dm absent,dm total,dm per,deld present,deld notupdated,deld absent,deld total,deld per,oop present,oop notupdated,oop absent,oop total,oop per,cg present,cg notupdated,cg absent,cg total,cg per,fds present,fds notupdated,fds absent,fds total,fds per
10035,18,10,14,42,56.25,19,14,9,42,67.86,15,10,20,45,42.86,7,11,26,44,21.21,16,8,23,47,41.03
10036,15,10,17,42,46.88,10,14,18,42,35.71,28,10,7,45,80.0,17,11,16,44,51.52,15,8,24,47,38.46
10037,27,10,5,42,84.38,7,14,21,42,25.0,29,10,6,45,82.86,32,11,1,44,96.97,7,8,32,47,17.95
10038,30,10,2,42,93.75,7,14,21,42,25.0,28,10,7,45,80.0,19,11,14,44,57.58,11,8,28,47,28.21
10039,22,10,10,42,68.75,5,14,23,42,17.86,19,10,16,45,54.29,26,11,7,44,78.79,30,8,9,47,76.92
10040,19,10,13,42,59.38,26,14,2,42,92.86,32,10,3,45,91.43,18,11,15,44,54.55,12,8,27,47,30.77
10041,24,10,8,42,75.0,16,14,12,42,57.14,17,10,18,45,48.57,10,11,23,44,30.3,9,8,30,47,23.08
10042,28,10,4,42,87.5,13,14,15,42,46.43,17,10,18,45,48.57,24,11,9,44,72.73,31,8,8,47,79.49
10043,7,10,25,42,21.88,26,14,2,42,92.86,16,10,19,45,45.71,11,11,22,44,33.33,17,8,22,47,43.59
10044,31,10,1,42,96.88,5,14,23,42,17.86,23,10,12,45,65.71,14,11,19,44,42.42,27,8,12,47,69.23
10045,6,10,26,42,18.75,16,14,12,42,57.14,7,10,28,45,20.0,28,11,5,44,84.85,9,8,30,47,23.08
10046,12,10,20,42,37.5,27,14,1,42,96.43,29,10,6,45,82.86,16,11,17,44,48.48,23,8,16,47,58.97
10047,18,10,14,42,56.25,18,14,10,42,64.29,5,10,30,45,14.29,10,11,23,44,30.3,20,8,19,47,51.28
10048,27,10,5,42,84.38,7,14,21,42,25.0,10,10,25,45,28.57,6,11,27,44,18.18,18,8,21,47,46.15
10049,11,10,21,42,34.38,7,14,21,42,25.0,27,10,8,45,77.14,22,11,11,44,66.67,32,8,7,47,82.05
10050,26,10,6,42,81.25,21,14,7,42,75.0,18,10,17,45,51.43,28,11,5,44,84.85,14,8,25,47,35.9
10051,16,10,16,42,50.0,12,14,16,42,42.86,5,10,30,45,14.29,27,11,6,44,81.82,34,8,5,47,87.18
10052,24,10,8,42,75.0,20,14,8,42,71.43,19,10,16,45,54.29,30,11,3,44,90.91,25,8,14,47,64.1
10053,20,10,12,42,62.5,6,14,22,42,21.43,33,10,2,45,94.29,9,11,24,44,27.27,23,8,16,47,58.97
10054,5,10,27,42,15.62,15,14,13,42,53.57,15,10,20,45,42.86,8,11,25,44,24.24,14,8,25,47,35.9
10055,24,10,8,42,75.0,24,14,4,42,85.71,20,10,15,45,57.14,20,11,13,44,60.61,17,8,22,47,43.59
10056,29,10,3,42,90.62,16,14,12,42,57.14,7,10,28,45,20.0,9,11,24,44,27.27,20,8,19,47,51.28
10057,21,10,11,42,65.62,13,14,15,42,46.43,21,10,14,45,60.0,31,11,2,44,93.94,29,8,10,47,74.36
10058,12,10,20,42,37.5,14,14,14,42,50.0,22,10,13,45,62.86,26,11,7,44,78.79,20,8,19,47,51.28
10059,6,10,26,42,18.75,18,14,10,42,64.29,33,10,2,45,94.29,29,11,4,44,87.88,22,8,17,47,56.41
10060,5,10,27,42,15.62,6,14,22,42,21.43,25,10,10,45,71.43,19,11,14,44,57.58,17,8,22,47,43.59
10061,20,10,12,42,62.5,12,14,16,42,42.86,24,10,11,45,68.57,8,11,25,44,24.24,5,8,34,47,12.82
10062,30,10,2,42,93.75,17,14,11,42,60.71,6,10,29,45,17.14,13,11,20,44,39.39,12,8,27,47,30.77
10063,25,10,7,42,78.12,14,14,14,42,50.0,29,10,6,45,82.86,15,11,18,44,45.45,19,8,20,47,48.72
10064,13,10,19,42,40.62,5,14,23,42,17.86,28,10,7,45,80.0,16,11,17,44,48.48,5,8,34,47,12.82
10065,15,10,17,42,46.88,8,14,20,42,28.57,5,10,30,45,14.29,16,11,17,44,48.48,5,8,34,47,12.82
10066,12,10,20,42,37.5,20,14,8,42,71.43,30,10,5,45,85.71,20,11,13,44,60.61,34,8,5,47,87.18
10067,8,10,24,42,25.0,17,14,11,42,60.71,34,10,1,45,97.14,19,11,14,44,57.58,15,8,24,47,38.46
10068,21,10,11,42,65.62,13,14,15,42,46.43,15,10,20,45,42.86,26,11,7,44,78.79,21,8,18,47,53.85
10069,17,10,15,42,53.12,17,14,11,42,60.71,25,10,10,45,71.43,25,11,8,44,75.76,24,8,15,47,61.54
10070,15,10,17,42,46.88,27,14,1,42,96.43,16,10,19,45,45.71,19,11,14,44,57.58,16,8,23,47,41.03
10071,18,10,14,42,56.25,21,14,7,42,75.0,5,10,30,45,14.29,10,11,23,44,30.3,26,8,13,47,66.67
10072,22,10,10,42,68.75,26,14,2,42,92.86,31,10,4,45,88.57,9,11,24,44,27.27,28,8,11,47,71.79
10073,13,10,19,42,40.62,26,14,2,42,92.86,28,10,7,45,80.0,21,11,12,44,63.64,8,8,31,47,20.51
10074,24,10,8,42,75.0,18,14,10,42,64.29,27,10,8,45,77.14,15,11,18,44,45.45,27,8,12,47,69.23
10075,13,10,19,42,40.62,19,14,9,42,67.86,6,10,29,45,17.14,22,11,11,44,66.67,26,8,13,47,66.67
10076,20,10,12,42,62.5,22,14,6,42,78.57,29,10,6,45,82.86,22,11,11,44,66.67,7,8,32,47,17.95
10077,9,10,23,42,28.12,27,14,1,42,96.43,11,10,24,45,31.43,23,11,10,44,69.7,11,8,28,47,28.21
10078,7,10,25,42,21.88,25,14,3,42,89.29,17,10,18,45,48.57,32,11,1,44,96.97,28,8,11,47,71.79
10079,23,10,9,42,71.88,19,14,9,42,67.86,26,10,9,45,74.29,24,11,9,44,72.73,5,8,34,47,12.82
10080,13,10,19,42,40.62,21,14,7,42,75.0,27,10,8,45,77.14,9,11,24,44,27.27,25,8,14,47,64.1
10081,27,10,5,42,84.38,13,14,15,42,46.43,29,10,6,45,82.86,20,11,13,44,60.61,33,8,6,47,84.62
10082,15,10,17,42,46.88,16,14,12,42,57.14,32,10,3,45,91.43,23,11,10,44,69.7,5,8,34,47,12.82
10083,17,10,15,42,53.12,6,14,22,42,21.43,29,10,6,45,82.86,15,11,18,44,45.45,15,8,24,47,38.46
10084,19,10,13,42,59.38,15,14,13,42,53.57,11,10,24,45,31.43,9,11,24,44,27.27,5,8,34,47,12.82
10085,29,10,3,42,90.62,22,14,6,42,78.57,9,10,26,45,25.71,19,11,14,44,57.58,26,8,13,47,66.67
10086,20,10,12,42,62.5,20,14,8,42,71.43,31,10,4,45,88.57,15,11,18,44,45.45,20,8,19,47,51.28
10087,20,10,12,42,62.5,5,14,23,42,17.86,20,10,15,45,57.14,32,11,1,44,96.97,24,8,15,47,61.54
10088,17,10,15,42,53.12,18,14,10,42,64.29,19,10,16,45,54.29,27,11,6,44,81.82,23,8,16,47,58.97
10089,15,10,17,42,46.88,14,14,14,42,50.0,10,10,25,45,28.57,15,11,18,44,45.45,33,8,6,47,84.62
10090,16,10,16,42,50.0,13,14,15,42,46.43,33,10,2,45,94.29,23,11,10,44,69.7,15,8,24,47,38.46
10091,7,10,25,42,21.88,19,14,9,42,67.86,26,10,9,45,74.29,16,11,17,44,48.48,15,8,24,47,38.46
10092,22,10,10,42,68.75,15,14,13,42,53.57,30,10,5,45,85.71,18,11,15,44,54.55,10,8,29,47,25.64
10093,20,10,12,42,62.5,16,14,12,42,57.14,27,10,8,45,77.14,24,11,9,44,72.73,38,8,1,47,97.44
10094,20,10,12,42,62.5,6,14,22,42,21.43,24,10,11,45,68.57,7,11,26,44,21.21,31,8,8,47,79.49
10095,28,10,4,42,87.5,14,14,14,42,50.0,16,10,19,45,45.71,16,11,17,44,48.48,33,8,6,47,84.62
10096,9,10,23,42,28.12,19,14,9,42,67.86,15,10,20,45,42.86,24,11,9,44,72.73,25,8,14,47,64.1
10097,23,10,9,42,71.88,7,14,21,42,25.0,32,10,3,45,91.43,15,11,18,44,45.45,32,8,7,47,82.05
10098,15,10,17,42,46.88,10,14,18,42,35.71,15,10,20,45,42.86,31,11,2,44,93.94,19,8,20,47,48.72
10099,9,10,23,42,28.12,7,14,21,42,25.0,5,10,30,45,14.29,21,11,12,44,63.64,16,8,23,47,41.03
10100,5,10,27,42,15.62,21,14,7,42,75.0,14,10,21,45,40.0,19,11,14,44,57.58,32,8,7,47,82.05
10101,6,10,26,42,18.75,18,14,10,42,64.29,20,10,15,45,57.14,24,11,9,44,72.73,6,8,33,47,15.38
10102,16,10,16,42,50.0,12,14,16,42,42.86,16,10,19,45,45.71,13,11,20,44,39.39,21,8,18,47,53.85
10103,14,10,18,42,43.75,23,14,5,42,82.14,31,10,4,45,88.57,29,11,4,44,87.88,7,8,32,47,17.95
10104,24,10,8,42,75.0,12,14,16,42,42.86,30,10,5,45,85.71,20,11,13,44,60.61,14,8,25,47,35.9
10105,22,10,10,42,68.75,22,14,6,42,78.57,15,10,20,45,42.86,24,11,9,44,72.73,18,8,21,47,46.15
10106,21,10,11,42,65.62,18,14,10,42,64.29,10,10,25,45,28.57,26,11,7,44,78.79,7,8,32,47,17.95
10107,8,10,24,42,25.0,22,14,6,42,78.57,19,10,16,45,54.29,16,11,17,44,48.48,14,8,25,47,35.9
10108,18,10,14,42,56.25,27,14,1,42,96.43,21,10,14,45,60.0,26,11,7,44,78.79,20,8,19,47,51.28
10109,7,10,25,42,21.88,18,14,10,42,64.29,30,10,5,45,85.71,19,11,14,44,57.58,14,8,25,47,35.9
10110,21,10,11,42,65.62,15,14,13,42,53.57,31,10,4,45,88.57,10,11,23,44,30.3,5,8,34,47,12.82
10111,30,10,2,42,93.75,10,14,18,42,35.71,11,10,24,45,31.43,27,11,6,44,81.82,16,8,23,47,41.03
10112,19,10,13,42,59.38,22,14,6,42,78.57,27,10,8,45,77.14,14,11,19,44,42.42,7,8,32,47,17.95
10113,23,10,9,42,71.88,17,14,11,42,60.71,9,10,26,45,25.71,20,11,13,44,60.61,15,8,24,47,38.46
10114,21,10,11,42,65.62,23,14,5,42,82.14,15,10,20,45,42.86,18,11,15,44,54.55,37,8,2,47,94.87
10115,27,10,5,42,84.38,8,14,20,42,28.57,22,10,13,45,62.86,27,11,6,44,81.82,21,8,18,47,53.85
10116,21,10,11,42,65.62,27,14,1,42,96.43,33,10,2,45,94.29,5,11,28,44,15.15,35,8,4,47,89.74
10117,10,10,22,42,31.25,6,14,22,42,21.43,26,10,9,45,74.29,13,11,20,44,39.39,20,8,19,47,51.28
10118,15,10,17,42,46.88,27,14,1,42,96.43,33,10,2,45,94.29,28,11,5,44,84.85,17,8,22,47,43.59
10119,29,10,3,42,90.62,7,14,21,42,25.0,16,10,19,45,45.71,21,11,12,44,63.64,26,8,13,47,66.67
10120,15,10,17,42,46.88,16,14,12,42,57.14,29,10,6,45,82.86,8,11,25,44,24.24,7,8,32,47,17.95
10121,14,10,18,42,43.75,22,14,6,42,78.57,34,10,1,45,97.14,20,11,13,44,60.61,21,8,18,47,53.85
10122,31,10,1,42,96.88,17,14,11,42,60.71,18,10,17,45,51.43,16,11,17,44,48.48,36,8,3,47,92.31
10123,8,10,24,42,25.0,18,14,10,42,64.29,11,10,24,45,31.43,18,11,15,44,54.55,16,8,23,47,41.03
10124,23,10,9,42,71.88,20,14,8,42,71.43,16,10,19,45,45.71,21,11,12,44,63.64,28,8,11,47,71.79
10125,31,10,1,42,96.88,21,14,7,42,75.0,6,10,29,45,17.14,18,11,15,44,54.55,38,8,1,47,97.44
10126,24,10,8,42,75.0,20,14,8,42,71.43,17,10,18,45,48.57,8,11,25,44,24.24,19,8,20,47,48.72
10127,23,10,9,42,71.88,5,14,23,42,17.86,24,10,11,45,68.57,32,11,1,44,96.97,25,8,14,47,64.1
10128,12,10,20,42,37.5,21,14,7,42,75.0,19,10,16,45,54.29,21,11,12,44,63.64,15,8,24,47,38.46
10129,15,10,17,42,46.88,18,14,10,42,64.29,17,10,18,45,48.57,15,11,18,44,45.45,34,8,5,47,87.18
10130,14,10,18,42,43.75,27,14,1,42,96.43,30,10,5,45,85.71,5,11,28,44,15.15,37,8,2,47,94.87
10131,28,10,4,42,87.5,22,14,6,42,78.57,13,10,22,45,37.14,8,11,25,44,24.24,35,8,4,47,89.74
10132,6,10,26,42,18.75,9,14,19,42,32.14,33,10,2,45,94.29,30,11,3,44,90.91,38,8,1,47,97.44
10133,24,10,8,42,75.0,16,14,12,42,57.14,32,10,3,45,91.43,18,11,15,44,54.55,14,8,25,47,35.9
10134,8,10,24,42,25.0,26,14,2,42,92.86,21,10,14,45,60.0,31,11,2,44,93.94,9,8,30,47,23.08
10135,5,10,27,42,15.62,8,14,20,42,28.57,10,10,25,45,28.57,19,11,14,44,57.58,24,8,15,47,61.54
10136,13,10,19,42,40.62,22,14,6,42,78.57,24,10,11,45,68.57,17,11,16,44,51.52,16,8,23,47,41.03
10137,16,10,16,42,50.0,15,14,13,42,53.57,16,10,19,45,45.71,31,11,2,44,93.94,16,8,23,47,41.03
10138,19,10,13,42,59.38,25,14,3,42,89.29,22,10,13,45,62.86,5,11,28,44,15.15,37,8,2,47,94.87
10139,14,10,18,42,43.75,25,14,3,42,89.29,21,10,14,45,60.0,23,11,10,44,69.7,10,8,29,47,25.64
10140,30,10,2,42,93.75,20,14,8,42,71.43,33,10,2,45,94.29,9,11,24,44,27.27,32,8,7,47,82.05
10141,18,10,14,42,56.25,10,14,18,42,35.71,8,10,27,45,22.86,16,11,17,44,48.48,17,8,22,47,43.59
10142,26,10,6,42,81.25,18,14,10,42,64.29,16,10,19,45,45.71,17,11,16,44,51.52,17,8,22,47,43.59
10143,18,10,14,42,56.25,5,14,23,42,17.86,19,10,16,45,54.29,7,11,26,44,21.21,14,8,25,47,35.9
10144,13,10,19,42,40.62,22,14,6,42,78.57,18,10,17,45,51.43,24,11,9,44,72.73,29,8,10,47,74.36
10145,28,10,4,42,87.5,7,14,21,42,25.0,16,10,19,45,45.71,14,11,19,44,42.42,21,8,18,47,53.85
10146,16,10,16,42,50.0,14,14,14,42,50.0,14,10,21,45,40.0,18,11,15,44,54.55,17,8,22,47,43.59
10147,11,10,21,42,34.38,11,14,17,42,39.29,29,10,6,45,82.86,20,11,13,44,60.61,14,8,25,47,35.9
10148,20,10,12,42,62.5,6,14,22,42,21.43,15,10,20,45,42.86,6,11,27,44,18.18,35,8,4,47,89.74
10149,8,10,24,42,25.0,15,14,13,42,53.57,6,10,29,45,17.14,20,11,13,44,60.61,8,8,31,47,20.51
10150,25,10,7,42,78.12,8,14,20,42,28.57,16,10,19,45,45.71,6,11,27,44,18.18,29,8,10,47,74.36
10151,24,10,8,42,75.0,15,14,13,42,53.57,15,10,20,45,42.86,12,11,21,44,36.36,16,8,23,47,41.03
10152,20,10,12,42,62.5,22,14,6,42,78.57,31,10,4,45,88.57,9,11,24,44,27.27,6,8,33,47,15.38
10153,21,10,11,42,65.62,11,14,17,42,39.29,26,10,9,45,74.29,19,11,14,44,57.58,29,8,10,47,74.36
10154,17,10,15,42,53.12,14,14,14,42,50.0,15,10,20,45,42.86,15,11,18,44,45.45,22,8,17,47,56.41
10155,14,10,18,42,43.75,22,14,6,42,78.57,14,10,21,45,40.0,11,11,22,44,33.33,7,8,32,47,17.95
10156,8,10,24,42,25.0,10,14,18,42,35.71,11,10,24,45,31.43,23,11,10,44,69.7,22,8,17,47,56.41
10157,11,10,21,42,34.38,19,14,9,42,67.86,7,10,28,45,20.0,21,11,12,44,63.64,15,8,24,47,38.46
10158,20,10,12,42,62.5,16,14,12,42,57.14,22,10,13,45,62.86,11,11,22,44,33.33,28,8,11,47,71.79
10159,24,10,8,42,75.0,8,14,20,42,28.57,17,10,18,45,48.57,7,11,26,44,21.21,37,8,2,47,94.87
10160,28,10,4,42,87.5,24,14,4,42,85.71,7,10,28,45,20.0,15,11,18,44,45.45,5,8,34,47,12.82
10161,31,10,1,42,96.88,19,14,9,42,67.86,24,10,11,45,68.57,19,11,14,44,57.58,18,8,21,47,46.15
10162,14,10,18,42,43.75,19,14,9,42,67.86,7,10,28,45,20.0,27,11,6,44,81.82,15,8,24,47,38.46
10163,16,10,16,42,50.0,24,14,4,42,85.71,18,10,17,45,51.43,15,11,18,44,45.45,35,8,4,47,89.74
10164,22,10,10,42,68.75,25,14,3,42,89.29,34,10,1,45,97.14,32,11,1,44,96.97,23,8,16,47,58.97
10165,15,10,17,42,46.88,6,14,22,42,21.43,5,10,30,45,14.29,18,11,15,44,54.55,21,8,18,47,53.85
10166,31,10,1,42,96.88,17,14,11,42,60.71,16,10,19,45,45.71,32,11,1,44,96.97,12,8,27,47,30.77
10167,17,10,15,42,53.12,23,14,5,42,82.14,15,10,20,45,42.86,21,11,12,44,63.64,16,8,23,47,41.03
10168,18,10,14,42,56.25,15,14,13,42,53.57,15,10,20,45,42.86,5,11,28,44,15.15,19,8,20,47,48.72
10169,26,10,6,42,81.25,14,14,14,42,50.0,33,10,2,45,94.29,17,11,16,44,51.52,37,8,2,47,94.87
10170,15,10,17,42,46.88,25,14,3,42,89.29,16,10,19,45,45.71,26,11,7,44,78.79,18,8,21,47,46.15
10171,17,10,15,42,53.12,18,14,10,42,64.29,14,10,21,45,40.0,25,11,8,44,75.76,36,8,3,47,92.31
10172,28,10,4,42,87.5,14,14,14,42,50.0,26,10,9,45,74.29,9,11,24,44,27.27,10,8,29,47,25.64
10173,10,10,22,42,31.25,22,14,6,42,78.57,19,10,16,45,54.29,11,11,22,44,33.33,8,8,31,47,20.51
10174,22,10,10,42,68.75,8,14,20,42,28.57,19,10,16,45,54.29,15,11,18,44,45.45,21,8,18,47,53.85
10175,6,10,26,42,18.75,19,14,9,42,67.86,23,10,12,45,65.71,21,11,12,44,63.64,29,8,10,47,74.36
10176,14,10,18,42,43.75,9,14,19,42,32.14,26,10,9,45,74.29,23,11,10,44,69.7,28,8,11,47,71.79
10177,24,10,8,42,75.0,11,14,17,42,39.29,14,10,21,45,40.0,10,11,23,44,30.3,20,8,19,47,51.28
10178,26,10,6,42,81.25,16,14,12,42,57.14,15,10,20,45,42.86,12,11,21,44,36.36,29,8,10,47,74.36
10179,15,10,17,42,46.88,15,14,13,42,53.57,20,10,15,45,57.14,16,11,17,44,48.48,33,8,6,47,84.62
10180,15,10,17,42,46.88,18,14,10,42,64.29,7,10,28,45,20.0,13,11,20,44,39.39,16,8,23,47,41.03
10181,25,10,7,42,78.12,12,14,16,42,42.86,31,10,4,45,88.57,17,11,16,44,51.52,6,8,33,47,15.38
10182,17,10,15,42,53.12,5,14,23,42,17.86,23,10,12,45,65.71,15,11,18,44,45.45,27,8,12,47,69.23
10183,9,10,23,42,28.12,14,14,14,42,50.0,24,10,11,45,68.57,26,11,7,44,78.79,12,8,27,47,30.77
10184,15,10,17,42,46.88,19,14,9,42,67.86,13,10,22,45,37.14,18,11,15,44,54.55,25,8,14,47,64.1
10185,23,10,9,42,71.88,9,14,19,42,32.14,26,10,9,45,74.29,30,11,3,44,90.91,19,8,20,47,48.72
10186,24,10,8,42,75.0,24,14,4,42,85.71,32,10,3,45,91.43,8,11,25,44,24.24,10,8,29,47,25.64
10187,31,10,1,42,96.88,6,14,22,42,21.43,5,10,30,45,14.29,22,11,11,44,66.67,27,8,12,47,69.23
10188,12,10,20,42,37.5,7,14,21,42,25.0,19,10,16,45,54.29,29,11,4,44,87.88,15,8,24,47,38.46
10189,21,10,11,42,65.62,22,14,6,42,78.57,23,10,12,45,65.71,9,11,24,44,27.27,22,8,17,47,56.41
10190,24,10,8,42,75.0,18,14,10,42,64.29,16,10,19,45,45.71,16,11,17,44,48.48,21,8,18,47,53.85
10191,5,10,27,42,15.62,8,14,20,42,28.57,15,10,20,45,42.86,30,11,3,44,90.91,38,8,1,47,97.44
10192,10,10,22,42,31.25,27,14,1,42,96.43,23,10,12,45,65.71,21,11,12,44,63.64,23,8,16,47,58.97
10193,20,10,12,42,62.5,20,14,8,42,71.43,30,10,5,45,85.71,16,11,17,44,48.48,27,8,12,47,69.23
10194,13,10,19,42,40.62,18,14,10,42,64.29,33,10,2,45,94.29,6,11,27,44,18.18,18,8,21,47,46.15
10195,8,10,24,42,25.0,22,14,6,42,78.57,7,10,28,45,20.0,11,11,22,44,33.33,10,8,29,47,25.64
10196,7,10,25,42,21.88,19,14,9,42,67.86,6,10,29,45,17.14,18,11,15,44,54.55,38,8,1,47,97.44
10197,14,10,18,42,43.75,18,14,10,42,64.29,5,10,30,45,14.29,15,11,18,44,45.45,15,8,24,47,38.46
10198,26,10,6,42,81.25,15,14,13,42,53.57,21,10,14,45,60.0,16,11,17,44,48.48,23,8,16,47,58.97
10199,13,10,19,42,40.62,10,14,18,42,35.71,10,10,25,45,28.57,28,11,5,44,84.85,21,8,18,47,53.85
10200,9,10,23,42,28.12,16,14,12,42,57.14,31,10,4,45,88.57,11,11,22,44,33.33,13,8,26,47,33.33
10201,15,10,17,42,46.88,27,14,1,42,96.43,18,10,17,45,51.43,16,11,17,44,48.48,13,8,26,47,33.33
10202,9,10,23,42,28.12,27,14,1,42,96.43,28,10,7,45,80.0,26,11,7,44,78.79,38,8,1,47,97.44
10203,21,10,11,42,65.62,26,14,2,42,92.86,31,10,4,45,88.57,20,11,13,44,60.61,7,8,32,47,17.95
10204,11,10,21,42,34.38,6,14,22,42,21.43,27,10,8,45,77.14,30,11,3,44,90.91,16,8,23,47,41.03
10205,12,10,20,42,37.5,7,14,21,42,25.0,21,10,14,45,60.0,17,11,16,44,51.52,21,8,18,47,53.85
10206,19,10,13,42,59.38,23,14,5,42,82.14,17,10,18,45,48.57,23,11,10,44,69.7,26,8,13,47,66.67
10207,18,10,14,42,56.25,16,14,12,42,57.14,8,10,27,45,22.86,23,11,10,44,69.7,25,8,14,47,64.1
10208,23,10,9,42,71.88,18,14,10,42,64.29,14,10,21,45,40.0,15,11,18,44,45.45,36,8,3,47,92.31
10209,17,10,15,42,53.12,10,14,18,42,35.71,10,10,25,45,28.57,21,11,12,44,63.64,5,8,34,47,12.82
10210,30,10,2,42,93.75,12,14,16,42,42.86,18,10,17,45,51.43,30,11,3,44,90.91,20,8,19,47,51.28
10211,6,10,26,42,18.75,7,14,21,42,25.0,15,10,20,45,42.86,19,11,14,44,57.58,21,8,18,47,53.85
10212,11,10,21,42,34.38,7,14,21,42,25.0,23,10,12,45,65.71,19,11,14,44,57.58,37,8,2,47,94.87
10213,7,10,25,42,21.88,14,14,14,42,50.0,30,10,5,45,85.71,13,11,20,44,39.39,17,8,22,47,43.59
10214,15,10,17,42,46.88,10,14,18,42,35.71,7,10,28,45,20.0,9,11,24,44,27.27,15,8,24,47,38.46
10215,8,10,24,42,25.0,8,14,20,42,28.57,13,10,22,45,37.14,26,11,7,44,78.79,16,8,23,47,41.03
10216,31,10,1,42,96.88,15,14,13,42,53.57,22,10,13,45,62.86,9,11,24,44,27.27,16,8,23,47,41.03
10217,8,10,24,42,25.0,18,14,10,42,64.29,14,10,21,45,40.0,29,11,4,44,87.88,24,8,15,47,61.54
10218,6,10,26,42,18.75,8,14,20,42,28.57,17,10,18,45,48.57,10,11,23,44,30.3,20,8,19,47,51.28
