reg_id,em3 present,em3 notupdated,em3 absent,em3 total,em3 per,dsa present,dsa notupdated,dsa absent,dsa total,dsa per,se present,se notupdated,se absent,se total,se per,ppl present,ppl notupdated,ppl absent,ppl total,ppl per,mp present,mp notupdated,mp absent,mp total,mp per
10050,21,9,13,43,61.76,20,12,9,41,68.97,26,8,10,44,72.22,17,10,16,43,51.52,20,10,12,42,62.5
10051,19,9,15,43,55.88,5,12,24,41,17.24,28,8,8,44,77.78,25,10,8,43,75.76,18,10,14,42,56.25
10052,10,9,24,43,29.41,27,12,2,41,93.1,10,8,26,44,27.78,15,10,18,43,45.45,10,10,22,42,31.25
10053,22,9,12,43,64.71,6,12,23,41,20.69,17,8,19,44,47.22,16,10,17,43,48.48,16,10,16,42,50.0
10054,13,9,21,43,38.24,25,12,4,41,86.21,16,8,20,44,44.44,23,10,10,43,69.7,24,10,8,42,75.0
10055,19,9,15,43,55.88,5,12,24,41,17.24,15,8,21,44,41.67,22,10,11,43,66.67,19,10,13,42,59.38
10056,33,9,1,43,97.06,23,12,6,41,79.31,7,8,29,44,19.44,17,10,16,43,51.52,6,10,26,42,18.75
10057,6,9,28,43,17.65,24,12,5,41,82.76,30,8,6,44,83.33,16,10,17,43,48.48,6,10,26,42,18.75
10058,31,9,3,43,91.18,17,12,12,41,58.62,20,8,16,44,55.56,24,10,9,43,72.73,24,10,8,42,75.0
10059,10,9,24,43,29.41,23,12,6,41,79.31,12,8,24,44,33.33,7,10,26,43,21.21,6,10,26,42,18.75
10060,7,9,27,43,20.59,9,12,20,41,31.03,30,8,6,44,83.33,18,10,15,43,54.55,27,10,5,42,84.38
10061,29,9,5,43,85.29,17,12,12,41,58.62,23,8,13,44,63.89,20,10,13,43,60.61,22,10,10,42,68.75
10062,22,9,12,43,64.71,12,12,17,41,41.38,26,8,10,44,72.22,8,10,25,43,24.24,11,10,21,42,34.38
10063,16,9,18,43,47.06,10,12,19,41,34.48,27,8,9,44,75.0,10,10,23,43,30.3,26,10,6,42,81.25
10064,8,9,26,43,23.53,11,12,18,41,37.93,10,8,26,44,27.78,29,10,4,43,87.88,26,10,6,42,81.25
10065,24,9,10,43,70.59,23,12,6,41,79.31,23,8,13,44,63.89,17,10,16,43,51.52,16,10,16,42,50.0
10066,18,9,16,43,52.94,24,12,5,41,82.76,17,8,19,44,47.22,20,10,13,43,60.61,21,10,11,42,65.62
10067,21,9,13,43,61.76,25,12,4,41,86.21,17,8,19,44,47.22,14,10,19,43,42.42,16,10,16,42,50.0
10068,20,9,14,43,58.82,19,12,10,41,65.52,26,8,10,44,72.22,23,10,10,43,69.7,20,10,12,42,62.5
10069,29,9,5,43,85.29,12,12,17,41,41.38,15,8,21,44,41.67,7,10,26,43,21.21,24,10,8,42,75.0
10070,29,9,5,43,85.29,17,12,12,41,58.62,13,8,23,44,36.11,12,10,21,43,36.36,15,10,17,42,46.88
10071,33,9,1,43,97.06,20,12,9,41,68.97,22,8,14,44,61.11,16,10,17,43,48.48,29,10,3,42,90.62
10072,15,9,19,43,44.12,24,12,5,41,82.76,30,8,6,44,83.33,16,10,17,43,48.48,29,10,3,42,90.62
10073,12,9,22,43,35.29,16,12,13,41,55.17,35,8,1,44,97.22,25,10,8,43,75.76,14,10,18,42,43.75
10074,15,9,19,43,44.12,19,12,10,41,65.52,9,8,27,44,25.0,6,10,27,43,18.18,18,10,14,42,56.25
10075,23,9,11,43,67.65,9,12,20,41,31.03,16,8,20,44,44.44,11,10,22,43,33.33,14,10,18,42,43.75
10076,17,9,17,43,50.0,18,12,11,41,62.07,11,8,25,44,30.56,17,10,16,43,51.52,26,10,6,42,81.25
10077,32,9,2,43,94.12,17,12,12,41,58.62,12,8,24,44,33.33,23,10,10,43,69.7,8,10,24,42,25.0
10078,16,9,18,43,47.06,21,12,8,41,72.41,18,8,18,44,50.0,20,10,13,43,60.61,11,10,21,42,34.38
10079,19,9,15,43,55.88,22,12,7,41,75.86,25,8,11,44,69.44,17,10,16,43,51.52,12,10,20,42,37.5
10080,18,9,16,43,52.94,9,12,20,41,31.03,14,8,22,44,38.89,13,10,20,43,39.39,21,10,11,42,65.62
10081,19,9,15,43,55.88,16,12,13,41,55.17,26,8,10,44,72.22,19,10,14,43,57.58,26,10,6,42,81.25
10082,23,9,11,43,67.65,9,12,20,41,31.03,35,8,1,44,97.22,26,10,7,43,78.79,19,10,13,42,59.38
10083,7,9,27,43,20.59,18,12,11,41,62.07,32,8,4,44,88.89,31,10,2,43,93.94,23,10,9,42,71.88
10084,30,9,4,43,88.24,19,12,10,41,65.52,21,8,15,44,58.33,27,10,6,43,81.82,30,10,2,42,93.75
10085,17,9,17,43,50.0,28,12,1,41,96.55,32,8,4,44,88.89,16,10,17,43,48.48,8,10,24,42,25.0
10086,19,9,15,43,55.88,5,12,24,41,17.24,16,8,20,44,44.44,25,10,8,43,75.76,26,10,6,42,81.25
10087,17,9,17,43,50.0,5,12,24,41,17.24,22,8,14,44,61.11,16,10,17,43,48.48,18,10,14,42,56.25
10088,30,9,4,43,88.24,17,12,12,41,58.62,32,8,4,44,88.89,23,10,10,43,69.7,14,10,18,42,43.75
10089,15,9,19,43,44.12,20,12,9,41,68.97,18,8,18,44,50.0,16,10,17,43,48.48,19,10,13,42,59.38
10090,20,9,14,43,58.82,15,12,14,41,51.72,15,8,21,44,41.67,25,10,8,43,75.76,15,10,17,42,46.88
10091,31,9,3,43,91.18,10,12,19,41,34.48,16,8,20,44,44.44,17,10,16,43,51.52,8,10,24,42,25.0
10092,14,9,20,43,41.18,22,12,7,41,75.86,17,8,19,44,47.22,11,10,22,43,33.33,23,10,9,42,71.88
10093,9,9,25,43,26.47,11,12,18,41,37.93,5,8,31,44,13.89,19,10,14,43,57.58,6,10,26,42,18.75
10094,7,9,27,43,20.59,28,12,1,41,96.55,33,8,3,44,91.67,9,10,24,43,27.27,6,10,26,42,18.75
10095,10,9,24,43,29.41,24,12,5,41,82.76,21,8,15,44,58.33,18,10,15,43,54.55,20,10,12,42,62.5
10096,17,9,17,43,50.0,16,12,13,41,55.17,21,8,15,44,58.33,17,10,16,43,51.52,8,10,24,42,25.0
10097,24,9,10,43,70.59,5,12,24,41,17.24,13,8,23,44,36.11,30,10,3,43,90.91,15,10,17,42,46.88
10098,24,9,10,43,70.59,20,12,9,41,68.97,6,8,30,44,16.67,8,10,25,43,24.24,16,10,16,42,50.0
10099,30,9,4,43,88.24,27,12,2,41,93.1,24,8,12,44,66.67,27,10,6,43,81.82,26,10,6,42,81.25
10100,17,9,17,43,50.0,20,12,9,41,68.97,32,8,4,44,88.89,32,10,1,43,96.97,16,10,16,42,50.0
10101,25,9,9,43,73.53,23,12,6,41,79.31,29,8,7,44,80.56,28,10,5,43,84.85,31,10,1,42,96.88
10102,17,9,17,43,50.0,6,12,23,41,20.69,7,8,29,44,19.44,8,10,25,43,24.24,13,10,19,42,40.62
10103,25,9,9,43,73.53,9,12,20,41,31.03,33,8,3,44,91.67,18,10,15,43,54.55,16,10,16,42,50.0
10104,15,9,19,43,44.12,18,12,11,41,62.07,12,8,24,44,33.33,16,10,17,43,48.48,21,10,11,42,65.62
10105,26,9,8,43,76.47,11,12,18,41,37.93,18,8,18,44,50.0,29,10,4,43,87.88,30,10,2,42,93.75
10106,28,9,6,43,82.35,13,12,16,41,44.83,15,8,21,44,41.67,11,10,22,43,33.33,6,10,26,42,18.75
10107,6,9,28,43,17.65,23,12,6,41,79.31,13,8,23,44,36.11,14,10,19,43,42.42,26,10,6,42,81.25
10108,16,9,18,43,47.06,10,12,19,41,34.48,32,8,4,44,88.89,13,10,20,43,39.39,15,10,17,42,46.88
10109,31,9,3,43,91.18,9,12,20,41,31.03,19,8,17,44,52.78,17,10,16,43,51.52,29,10,3,42,90.62
10110,24,9,10,43,70.59,18,12,11,41,62.07,15,8,21,44,41.67,12,10,21,43,36.36,21,10,11,42,65.62
10111,7,9,27,43,20.59,19,12,10,41,65.52,15,8,21,44,41.67,15,10,18,43,45.45,28,10,4,42,87.5
10112,15,9,19,43,44.12,12,12,17,41,41.38,24,8,12,44,66.67,20,10,13,43,60.61,17,10,15,42,53.12
10113,7,9,27,43,20.59,24,12,5,41,82.76,17,8,19,44,47.22,7,10,26,43,21.21,8,10,24,42,25.0
10114,27,9,7,43,79.41,14,12,15,41,48.28,11,8,25,44,30.56,5,10,28,43,15.15,13,10,19,42,40.62
10115,25,9,9,43,73.53,18,12,11,41,62.07,15,8,21,44,41.67,30,10,3,43,90.91,11,10,21,42,34.38
10116,12,9,22,43,35.29,16,12,13,41,55.17,11,8,25,44,30.56,15,10,18,43,45.45,20,10,12,42,62.5
10117,20,9,14,43,58.82,17,12,12,41,58.62,18,8,18,44,50.0,13,10,20,43,39.39,7,10,25,42,21.88
10118,19,9,15,43,55.88,15,12,14,41,51.72,32,8,4,44,88.89,25,10,8,43,75.76,7,10,25,42,21.88
10119,30,9,4,43,88.24,14,12,15,41,48.28,14,8,22,44,38.89,21,10,12,43,63.64,19,10,13,42,59.38
10120,11,9,23,43,32.35,8,12,21,41,27.59,25,8,11,44,69.44,16,10,17,43,48.48,24,10,8,42,75.0
10121,31,9,3,43,91.18,8,12,21,41,27.59,22,8,14,44,61.11,21,10,12,43,63.64,14,10,18,42,43.75
10122,18,9,16,43,52.94,26,12,3,41,89.66,24,8,12,44,66.67,17,10,16,43,51.52,26,10,6,42,81.25
10123,16,9,18,43,47.06,6,12,23,41,20.69,30,8,6,44,83.33,20,10,13,43,60.61,21,10,11,42,65.62
10124,15,9,19,43,44.12,6,12,23,41,20.69,17,8,19,44,47.22,18,10,15,43,54.55,20,10,12,42,62.5
10125,14,9,20,43,41.18,12,12,17,41,41.38,32,8,4,44,88.89,32,10,1,43,96.97,27,10,5,42,84.38
10126,17,9,17,43,50.0,6,12,23,41,20.69,23,8,13,44,63.89,11,10,22,43,33.33,27,10,5,42,84.38
10127,26,9,8,43,76.47,21,12,8,41,72.41,34,8,2,44,94.44,30,10,3,43,90.91,17,10,15,42,53.12
10128,17,9,17,43,50.0,26,12,3,41,89.66,16,8,20,44,44.44,31,10,2,43,93.94,7,10,25,42,21.88
10129,6,9,28,43,17.65,15,12,14,41,51.72,32,8,4,44,88.89,15,10,18,43,45.45,18,10,14,42,56.25
10130,15,9,19,43,44.12,6,12,23,41,20.69,16,8,20,44,44.44,15,10,18,43,45.45,20,10,12,42,62.5
10131,27,9,7,43,79.41,19,12,10,41,65.52,20,8,16,44,55.56,7,10,26,43,21.21,7,10,25,42,21.88
10132,20,9,14,43,58.82,22,12,7,41,75.86,20,8,16,44,55.56,16,10,17,43,48.48,27,10,5,42,84.38
10133,15,9,19,43,44.12,18,12,11,41,62.07,27,8,9,44,75.0,23,10,10,43,69.7,20,10,12,42,62.5
10134,14,9,20,43,41.18,8,12,21,41,27.59,33,8,3,44,91.67,29,10,4,43,87.88,9,10,23,42,28.12
10135,10,9,24,43,29.41,15,12,14,41,51.72,6,8,30,44,16.67,18,10,15,43,54.55,13,10,19,42,40.62
10136,20,9,14,43,58.82,19,12,10,41,65.52,34,8,2,44,94.44,16,10,17,43,48.48,19,10,13,42,59.38
10137,30,9,4,43,88.24,11,12,18,41,37.93,9,8,27,44,25.0,22,10,11,43,66.67,27,10,5,42,84.38
10138,24,9,10,43,70.59,24,12,5,41,82.76,14,8,22,44,38.89,27,10,6,43,81.82,20,10,12,42,62.5
10139,7,9,27,43,20.59,20,12,9,41,68.97,16,8,20,44,44.44,31,10,2,43,93.94,20,10,12,42,62.5
10140,10,9,24,43,29.41,13,12,16,41,44.83,29,8,7,44,80.56,10,10,23,43,30.3,20,10,12,42,62.5
10141,16,9,18,43,47.06,25,12,4,41,86.21,8,8,28,44,22.22,10,10,23,43,30.3,7,10,25,42,21.88
10142,25,9,9,43,73.53,12,12,17,41,41.38,15,8,21,44,41.67,17,10,16,43,51.52,27,10,5,42,84.38
10143,22,9,12,43,64.71,24,12,5,41,82.76,25,8,11,44,69.44,5,10,28,43,15.15,5,10,27,42,15.62
10144,22,9,12,43,64.71,6,12,23,41,20.69,29,8,7,44,80.56,10,10,23,43,30.3,12,10,20,42,37.5
10145,15,9,19,43,44.12,26,12,3,41,89.66,25,8,11,44,69.44,8,10,25,43,24.24,28,10,4,42,87.5
10146,28,9,6,43,82.35,15,12,14,41,51.72,21,8,15,44,58.33,6,10,27,43,18.18,28,10,4,42,87.5
10147,9,9,25,43,26.47,28,12,1,41,96.55,15,8,21,44,41.67,15,10,18,43,45.45,21,10,11,42,65.62
10148,31,9,3,43,91.18,22,12,7,41,75.86,30,8,6,44,83.33,8,10,25,43,24.24,11,10,21,42,34.38
10149,18,9,16,43,52.94,18,12,11,41,62.07,20,8,16,44,55.56,20,10,13,43,60.61,15,10,17,42,46.88
10150,21,9,13,43,61.76,14,12,15,41,48.28,7,8,29,44,19.44,15,10,18,43,45.45,13,10,19,42,40.62
10151,23,9,11,43,67.65,25,12,4,41,86.21,15,8,21,44,41.67,18,10,15,43,54.55,25,10,7,42,78.12
10152,13,9,21,43,38.24,26,12,3,41,89.66,34,8,2,44,94.44,24,10,9,43,72.73,15,10,17,42,46.88
10153,15,9,19,43,44.12,11,12,18,41,37.93,20,8,16,44,55.56,18,10,15,43,54.55,24,10,8,42,75.0
10154,17,9,17,43,50.0,26,12,3,41,89.66,22,8,14,44,61.11,21,10,12,43,63.64,30,10,2,42,93.75
10155,13,9,21,43,38.24,5,12,24,41,17.24,21,8,15,44,58.33,24,10,9,43,72.73,14,10,18,42,43.75
10156,18,9,16,43,52.94,23,12,6,41,79.31,25,8,11,44,69.44,28,10,5,43,84.85,18,10,14,42,56.25
10157,27,9,7,43,79.41,6,12,23,41,20.69,11,8,25,44,30.56,28,10,5,43,84.85,17,10,15,42,53.12
10158,26,9,8,43,76.47,22,12,7,41,75.86,24,8,12,44,66.67,30,10,3,43,90.91,18,10,14,42,56.25
10159,20,9,14,43,58.82,9,12,20,41,31.03,15,8,21,44,41.67,13,10,20,43,39.39,27,10,5,42,84.38
10160,20,9,14,43,58.82,17,12,12,41,58.62,13,8,23,44,36.11,18,10,15,43,54.55,9,10,23,42,28.12
10161,10,9,24,43,29.41,10,12,19,41,34.48,15,8,21,44,41.67,24,10,9,43,72.73,13,10,19,42,40.62
10162,28,9,6,43,82.35,8,12,21,41,27.59,10,8,26,44,27.78,32,10,1,43,96.97,12,10,20,42,37.5
10163,8,9,26,43,23.53,19,12,10,41,65.52,16,8,20,44,44.44,31,10,2,43,93.94,31,10,1,42,96.88
10164,26,9,8,43,76.47,16,12,13,41,55.17,18,8,18,44,50.0,18,10,15,43,54.55,17,10,15,42,53.12
10165,19,9,15,43,55.88,23,12,6,41,79.31,35,8,1,44,97.22,7,10,26,43,21.21,17,10,15,42,53.12
10166,20,9,14,43,58.82,28,12,1,41,96.55,26,8,10,44,72.22,25,10,8,43,75.76,18,10,14,42,56.25
10167,11,9,23,43,32.35,8,12,21,41,27.59,25,8,11,44,69.44,25,10,8,43,75.76,10,10,22,42,31.25
10168,28,9,6,43,82.35,17,12,12,41,58.62,21,8,15,44,58.33,25,10,8,43,75.76,20,10,12,42,62.5
10169,10,9,24,43,29.41,9,12,20,41,31.03,5,8,31,44,13.89,11,10,22,43,33.33,29,10,3,42,90.62
10170,12,9,22,43,35.29,7,12,22,41,24.14,20,8,16,44,55.56,8,10,25,43,24.24,9,10,23,42,28.12
10171,31,9,3,43,91.18,23,12,6,41,79.31,23,8,13,44,63.89,20,10,13,43,60.61,26,10,6,42,81.25
10172,15,9,19,43,44.12,24,12,5,41,82.76,34,8,2,44,94.44,6,10,27,43,18.18,29,10,3,42,90.62
10173,19,9,15,43,55.88,6,12,23,41,20.69,24,8,12,44,66.67,24,10,9,43,72.73,10,10,22,42,31.25
10174,33,9,1,43,97.06,23,12,6,41,79.31,11,8,25,44,30.56,6,10,27,43,18.18,25,10,7,42,78.12
10175,29,9,5,43,85.29,21,12,8,41,72.41,35,8,1,44,97.22,6,10,27,43,18.18,10,10,22,42,31.25
10176,32,9,2,43,94.12,28,12,1,41,96.55,19,8,17,44,52.78,31,10,2,43,93.94,31,10,1,42,96.88
10177,23,9,11,43,67.65,16,12,13,41,55.17,8,8,28,44,22.22,10,10,23,43,30.3,16,10,16,42,50.0
10178,11,9,23,43,32.35,13,12,16,41,44.83,19,8,17,44,52.78,19,10,14,43,57.58,19,10,13,42,59.38
10179,17,9,17,43,50.0,17,12,12,41,58.62,30,8,6,44,83.33,23,10,10,43,69.7,21,10,11,42,65.62
10180,21,9,13,43,61.76,22,12,7,41,75.86,19,8,17,44,52.78,17,10,16,43,51.52,30,10,2,42,93.75
10181,33,9,1,43,97.06,26,12,3,41,89.66,11,8,25,44,30.56,17,10,16,43,51.52,26,10,6,42,81.25
10182,27,9,7,43,79.41,27,12,2,41,93.1,26,8,10,44,72.22,15,10,18,43,45.45,11,10,21,42,34.38
10183,7,9,27,43,20.59,15,12,14,41,51.72,26,8,10,44,72.22,23,10,10,43,69.7,9,10,23,42,28.12
10184,19,9,15,43,55.88,25,12,4,41,86.21,24,8,12,44,66.67,23,10,10,43,69.7,30,10,2,42,93.75
10185,10,9,24,43,29.41,9,12,20,41,31.03,10,8,26,44,27.78,20,10,13,43,60.61,24,10,8,42,75.0
10186,6,9,28,43,17.65,26,12,3,41,89.66,18,8,18,44,50.0,18,10,15,43,54.55,22,10,10,42,68.75
10187,15,9,19,43,44.12,5,12,24,41,17.24,22,8,14,44,61.11,27,10,6,43,81.82,9,10,23,42,28.12
10188,17,9,17,43,50.0,16,12,13,41,55.17,17,8,19,44,47.22,24,10,9,43,72.73,26,10,6,42,81.25
10189,16,9,18,43,47.06,27,12,2,41,93.1,27,8,9,44,75.0,13,10,20,43,39.39,6,10,26,42,18.75
10190,6,9,28,43,17.65,19,12,10,41,65.52,25,8,11,44,69.44,15,10,18,43,45.45,24,10,8,42,75.0
10191,15,9,19,43,44.12,12,12,17,41,41.38,15,8,21,44,41.67,17,10,16,43,51.52,11,10,21,42,34.38
10192,20,9,14,43,58.82,9,12,20,41,31.03,16,8,20,44,44.44,10,10,23,43,30.3,23,10,9,42,71.88
10193,21,9,13,43,61.76,26,12,3,41,89.66,27,8,9,44,75.0,15,10,18,43,45.45,9,10,23,42,28.12
10194,16,9,18,43,47.06,16,12,13,41,55.17,6,8,30,44,16.67,22,10,11,43,66.67,8,10,24,42,25.0
10195,6,9,28,43,17.65,12,12,17,41,41.38,31,8,5,44,86.11,16,10,17,43,48.48,26,10,6,42,81.25
10196,23,9,11,43,67.65,17,12,12,41,58.62,35,8,1,44,97.22,26,10,7,43,78.79,20,10,12,42,62.5
10197,31,9,3,43,91.18,14,12,15,41,48.28,18,8,18,44,50.0,15,10,18,43,45.45,15,10,17,42,46.88
10198,10,9,24,43,29.41,15,12,14,41,51.72,17,8,19,44,47.22,5,10,28,43,15.15,7,10,25,42,21.88
10199,26,9,8,43,76.47,25,12,4,41,86.21,5,8,31,44,13.89,9,10,24,43,27.27,9,10,23,42,28.12
10200,30,9,4,43,88.24,27,12,2,41,93.1,20,8,16,44,55.56,24,10,9,43,72.73,25,10,7,42,78.12
10201,13,9,21,43,38.24,26,12,3,41,89.66,29,8,7,44,80.56,16,10,17,43,48.48,22,10,10,42,68.75
10202,13,9,21,43,38.24,23,12,6,41,79.31,12,8,24,44,33.33,22,10,11,43,66.67,23,10,9,42,71.88
10203,18,9,16,43,52.94,15,12,14,41,51.72,7,8,29,44,19.44,19,10,14,43,57.58,17,10,15,42,53.12
10204,6,9,28,43,17.65,9,12,20,41,31.03,27,8,9,44,75.0,19,10,14,43,57.58,17,10,15,42,53.12
10205,24,9,10,43,70.59,15,12,14,41,51.72,16,8,20,44,44.44,24,10,9,43,72.73,14,10,18,42,43.75
10206,20,9,14,43,58.82,12,12,17,41,41.38,25,8,11,44,69.44,20,10,13,43,60.61,17,10,15,42,53.12
10207,8,9,26,43,23.53,8,12,21,41,27.59,18,8,18,44,50.0,8,10,25,43,24.24,13,10,19,42,40.62
10208,8,9,26,43,23.53,19,12,10,41,65.52,17,8,19,44,47.22,20,10,13,43,60.61,19,10,13,42,59.38
10209,33,9,1,43,97.06,16,12,13,41,55.17,21,8,15,44,58.33,22,10,11,43,66.67,11,10,21,42,34.38
10210,10,9,24,43,29.41,9,12,20,41,31.03,21,8,15,44,58.33,14,10,19,43,42.42,15,10,17,42,46.88
10211,31,9,3,43,91.18,22,12,7,41,75.86,16,8,20,44,44.44,11,10,22,43,33.33,11,10,21,42,34.38
10212,32,9,2,43,94.12,6,12,23,41,20.69,31,8,5,44,86.11,32,10,1,43,96.97,28,10,4,42,87.5
10213,13,9,21,43,38.24,8,12,21,41,27.59,18,8,18,44,50.0,7,10,26,43,21.21,29,10,3,42,90.62
10214,17,9,17,43,50.0,6,12,23,41,20.69,15,8,21,44,41.67,12,10,21,43,36.36,21,10,11,42,65.62
10215,15,9,19,43,44.12,6,12,23,41,20.69,20,8,16,44,55.56,19,10,14,43,57.58,15,10,17,42,46.88
10216,16,9,18,43,47.06,14,12,15,41,48.28,16,8,20,44,44.44,15,10,18,43,45.45,5,10,27,42,15.62
10217,18,9,16,43,52.94,18,12,11,41,62.07,17,8,19,44,47.22,30,10,3,43,90.91,14,10,18,42,43.75
